,IDB
4352,P34741
4355,Q13547
4359,Q6PHR2
4378,P22415
4382,Q16875
4384,P23677
4390,O43150
4410,Q8IWB6
4439,Q969S3
4450,Q9H9S0
4463,Q8WVD3
4473,P40337
4488,Q13148
4493,Q14258
4497,P21860
4502,O95180
4513,O43294
4525,Q13469
4529,P51397
4531,Q9UKV8
4535,Q96AP0
4538,O75379
4539,Q9UKV0
4540,Q02535
4571,Q9HAW4
4576,P52945
4587,Q14739
4589,Q86UX7
4597,Q8N2H9
4606,P05204
4608,P78371
4614,O14654
4618,Q9UKW4
4634,Q9UJV9
4638,Q9H1K1
4648,O43315
4649,O60346
4653,Q02952
4654,Q9Y6D9
4657,Q86V81
4661,Q96QZ7
4664,Q9BXS5
4665,Q5VT25
4668,Q9UHH9
4673,Q8IZL8
4679,O95477
4685,P78352
4687,P53539
4700,P16401
4715,P48426
4733,P18433
4736,Q9ULV4
4738,P14649
4744,O75306
4753,P18507
4754,P14679
4756,Q8IXI1
4761,P19367
4764,Q13416
4769,O43257
4779,P48357
4787,Q07817
4791,Q96A54
4806,P00338
4807,Q9UM11
4811,Q9Y4G8
4812,P62987
4814,O15379
4823,Q9UNW9
4825,Q8ND76
4836,P13498
4839,P43250
4843,Q96S94
4856,Q93073
4857,P12268
4858,Q8IV61
4877,O95238
4878,Q14498
4887,Q13151
4888,Q9BXK1
4904,P43405
4916,P11511
4917,Q13415
4925,Q7L7X3
4929,Q99490
4938,Q96F46
4943,Q2NKX8
4944,O75952
4952,Q15118
4975,Q9BV73
4990,Q9UKT4
5005,P27707
5020,O15534
5034,Q9NZV8
5048,P17275
5065,P35968
5066,P38432
5074,O43597
5099,Q86WB0
5100,Q9HCU9
5110,Q96T88
5111,Q15052
5112,Q9BYT3
5130,Q9P2J5
5132,Q9ULV5
5140,Q9BQ15
5144,Q04721
5147,Q9Y6R1
5162,O14713
5164,Q587J8
5167,O00763
5170,Q2PPJ7
5174,Q9UL51
5187,Q06330
5188,P30086
5191,O15259
5203,O43474
5206,O15119
5211,P50570
5219,Q14194
5224,P10828
5235,Q9Y666
5236,P09622
5237,Q92985
5273,P24071
5274,Q96FW1
5277,O00399
5278,Q8N556
5283,Q9HA82
5287,P10301
5289,Q9H2K8
5292,O14686
5295,Q9UQB8
5296,Q13627
5301,P30405
5302,Q96J02
5305,Q8N9L9
5323,Q9H6E5
5325,Q7L5N1
5328,P12259
5338,Q06265
5340,Q99808
5345,Q13370
5357,P42226
5361,P20701
5362,Q15759
5366,Q96ST2
5370,O43293
5374,Q9Y657
5381,O15392
5382,Q9Y4I1
5389,O14964
5392,Q96AC1
5398,O14493
5399,P50613
5406,P10636-5
5409,P48163
5412,O43707
5421,Q9Y294
5424,P18545
5425,Q13426
5436,P0CG48
5460,Q9Y2J4
5465,Q99523
5474,P26358
5475,Q5VWQ8
5481,Q6VY07
5487,P30101
5492,Q96AX2
5499,Q9UBW7
5514,Q96T60
5524,Q5TKA1
5533,P52566
5551,Q4G163
5554,O76039
5558,Q9P0L2
5564,P46020
5569,Q68D86
5589,Q9HA47
5590,Q9Y6H6
5597,Q9UJM3
5619,P51532
5626,P46939
5631,O60234
5652,Q96CF2
5656,P26010
5658,Q92783
5662,P61981
5663,Q9Y2H1
5676,Q9H2D6
5678,P17936
5682,P25025
5684,P78563
5685,Q9H410
5687,P21802
5688,Q9NY61
5698,Q96T51
5701,O75122
5705,P46695
5706,Q99501
5709,Q9P0K7
5712,O00444
5713,O95295
5734,P49821
5761,Q6ZN44
5798,Q96QE3
5817,Q9Y5T5
5827,O75928
5829,Q5T7P8
5833,P41181
5837,Q08345
5838,Q15645
5840,P49585
5852,Q15172
5855,P20929
5860,Q9NYA1
5863,Q8N9I0
5873,P22455
5875,O00303
5881,O00161
5886,Q9UBF8
5887,O95433
5909,P27695
5912,P27361-3
5914,Q05513
5931,P99999
5935,P12004
5937,Q01543
5953,Q14451
5957,Q14693
5974,O60229
5982,Q96PY5
5987,Q9UPY8
5996,Q08289
6002,P51946
6008,O60879
6012,O75717
6020,P15382
6024,Q9BST9
6034,Q13285
6036,Q8TDX7
6038,P41279
6049,Q9C0H9
6059,O43526
6067,O75460
6089,Q9UNZ2
6104,O15357
6109,P27348
6118,Q6WKZ4
6127,Q9H7P9
6132,Q9NVI1
6144,P28749
6165,P55327
6166,Q8IUH4
6176,Q9BZL4
6203,Q12866
6206,O14994
6209,P21333
6212,O94768
6220,Q15149
6221,Q08493
6245,Q9NP80
6250,P33151
6269,Q18PE1
6271,Q6PIY7
6281,Q13887
6287,Q9UBE8
6288,P07237
6292,P31948
6295,Q8N4N8
6315,Q13257
6320,Q14457
6328,P08238
6338,P78314
6340,O95235
6344,P09467
6366,Q92908
6371,O00443
6375,P54198
6376,Q07955
6377,Q8TD43
6383,Q9H3Q1
6384,Q13829
6387,Q9BRS8
6396,P09769
6397,P29475
6411,P39019
6414,Q96J84
6421,Q15185
6439,P16403
6442,O95243
6452,Q13794
6457,P61244
6486,Q9Y297
6505,Q92858
6521,P42772
6522,O94953
6525,Q14980
6528,Q16832
6557,Q13526
6566,Q9H1D0
6571,P78344
6573,Q8TDQ0
6577,P37802
6590,P50548
6599,P40259
6636,P49411
6640,P15976
6646,O15503
6650,Q15046
6659,P32314
6662,Q9NUW8
6664,P54274
6668,Q9UGL1
6673,P62993
6674,P14416
6675,P14672
6707,Q2V2M9
6724,Q9Y2I7
6732,P63010
6750,Q9UJY5
6754,P50750
6755,Q8IXH7
6756,O43379
6757,Q9P2Y5
6761,Q8WU20
6771,Q9Y385
6803,P54619
6819,Q92997
6839,Q9NQA5
6844,Q7Z2E3
6856,O15511
6859,Q8TDY4
6861,O43889
6877,P15407
6879,Q9NQS1
6897,Q2M2Z5
6905,P35613
6906,P49760
6917,P78317
6937,Q05639
6966,O75376
6971,P60953
6976,Q5UE93
6978,P53365
6979,Q9NYV4
6983,Q9NRR4
6992,O60516
6996,Q96L34
7006,Q8WWK9
7009,Q13451
