,uniprot
23991,P06241
23993,P07948
24002,P29353-2
24004,P07947
24007,Q96DW4
24015,P09769
24032,Q16832
24051,P00533-1
24058,P62993
24063,O15492
24076,Q13480-2
24079,O14964
24094,P51692
24114,P09211
24115,P62158
24116,Q12809
24117,P61925
24127,Q6PIJ9
24129,P52735
24143,P11171
24144,P42566
24156,P12004
24205,P20936
24223,P04626
24244,Q15303
24258,P29317
24271,P29320
24280,P54764
24292,P29322
24313,P10301
24326,P52799
24328,P54753
24351,Q9Y220
24365,P12814
24370,Q14451
24382,O00401
24392,O75962
24393,Q99961
24454,Q9UDF2
24455,O60506
24457,P11362
24517,Q9UIH8
24530,P22607
24542,Q13043-1
24545,P22455
24572,Q9NQS9
24591,Q6GTU5
24594,P08069
24644,Q99704
24645,P53004
24668,P29350-3
24684,P27986
24689,P22681
24747,P15260
24755,P29597
24760,P42224
24785,O60674
24798,P10912
24799,Q92888
24801,P41597
24803,P42680
24811,P19235
24839,P16410
24872,P52333
24874,P23458
24884,Q96LC7
24911,Q13651
24960,Q96BD6
24977,Q04912
25003,P36888
25015,P07333
25046,P16234
25073,P00519-2
25080,P42684
25093,Q06124-2
25218,Q13882
25247,P14317
25500,Q6RBX8
25502,P20963
25507,P30419-2
25513,P40259
25514,Q86WV1
25518,Q9UIB0
25526,P11912
25528,P11137-2
25535,P42681
25541,P12318
25549,P16885
25557,Q12929-1
25667,O15379-1
25669,P53396-1
25672,Q9Y5K6
25674,P62191-1
25675,Q96RK0
25682,Q92538-1
25684,Q99504-1
25688,P11511-1
25689,O15524
26341,Q9NV92
26345,P30443
26346,P06396-2
26347,P20138
26365,Q13009
26385,Q13444
26386,P06733
26389,O15357
26390,Q13177
26393,P41743
26395,Q07912
26407,Q14118
26410,P11488
26416,Q14289
26423,Q9BX66-4
26432,P51636
26455,P18206-2
26465,O75116
26472,P60953
26495,A6NMY6
26497,P19438
26503,P01350
26554,P31994
26597,Q96C78
26604,Q5T7K2
26612,P08631
26748,Q13813
26752,P10747
26759,Q9UQQ2
26802,P31995
26803,O60711
26804,P15391
26812,Q12972
26817,P02730
26831,Q9GZY6
26833,P43405
26840,Q13291
26851,P30419
26863,Q9NWQ8
26888,Q9HBA0
26956,P11137
27057,P29353
27060,Q92918
27074,O43914
27075,Q9UH65
27090,P05771
27098,O43561-1
27104,O43561-2
27106,Q9UJU6
27113,P43403
27140,P51452
27169,P51813
27198,P78347
27200,Q75M87
27218,Q8TDQ0
27220,Q08881
27232,O00444-1
27239,Q9UC54
27258,Q96P43
27262,Q02763
27290,Q7Z5C3
27292,P04629
27302,P05067-1
27324,Q16620
27333,P17948
27335,B5A923
27347,P35916
27358,P35968
27382,P51617
27412,Q9NWZ3
27438,Q9Y281
27460,P51149
27468,P61006-1
27571,P80192
27588,Q13153-1
27617,Q9NTR3
27653,P46379
27654,Q9HDD2
27671,P15056
27722,Q13546-1
27733,O43353
27752,Q9Y572
27757,O95551
27776,P36897
27780,P37173
27804,A2T767
27814,P48670
27837,Q60HC2
27841,Q7JJU6
27862,B1WAR9
27869,P33674
27889,B2DCZ9
27892,P37882
27899,Q50L39
27918,Q9TTA1
27921,P56424
27959,Q28350
27960,Q4R381
27963,Q9MZU0
27965,P49033
28054,O36006
28063,Q5R444
28066,Q5RAG2
28067,Q4KYY2
28075,O18868
28079,Q91YB0
28081,Q5RAK8
28088,A1YFZ3
28116,P61260
28211,P69618
28221,Q9DGE0
28222,Q5R4K3
28254,B5KFD7
28264,O89090
28266,P70236
28268,Q925J9
28270,Q8C050
28272,Q9Z2B9
28274,A0A0G2K2P5
28275,Q01714
28277,Q62985
28278,O70521
28279,Q8R5I7
28281,Q60875
28284,P0CE43
28286,Q64623
28288,P27049
28289,Q5FVC2
28293,Q8IZQ8
28305,O77628
28308,P03362
28309,P14078
28310,P0C211
28311,P12497
28358,Q6S9E0
28359,Q4R4S6
28361,Q5R8T7
28377,P18095
28379,Q5RES4
28380,P35962
28381,P05889
28382,Q56TN0
28383,Q9XT09
28385,O02822
28388,Q9JHJ9
28389,P04594
28390,Q9QBZ2
28391,Q70622
28392,P20873
28393,P12494
28394,P04591
28395,Q7YR42
28398,Q75001
28399,P04592
28400,P05887
28408,Q77372
28436,P24736
28442,Q74119
28445,Q56TT7
28447,P04590
28454,O88479
28458,Q79665
28462,Q8HZP6
28463,Q865S3
28465,A9JTP3
28561,Q8VIJ4
28562,Q5I6B8
28563,Q63449
28564,P11345
28603,Q4R633
28604,Q9XT18
28607,Q5REW7
28608,A2ICN5
28619,Q60929
28622,Q2KIA0
28783,Q3SYZ2
28860,Q5EG47
28861,Q9EPF2
28864,Q96T49
29939,O08852
29940,O35182
29990,F1MJR8
30033,Q9JJP2
