,0
653,RBM4_HUMAN
654,RBM8A_HUMAN
655,RBP2_HUMAN
656,RCC1_HUMAN
657,RCN1_HUMAN
658,RCN2_HUMAN
659,RECQ1_HUMAN
660,REEP4_HUMAN
661,REN3B_HUMAN
662,RENT1_HUMAN
663,RFC2_HUMAN
664,RHG01_HUMAN
665,RIPK1_HUMAN
666,RIR1_HUMAN
667,RL10A_HUMAN
668,RL10_HUMAN
669,RL11_HUMAN
670,RL13A_HUMAN
671,RL13_HUMAN
672,RL15_HUMAN
673,RL17_HUMAN
674,RL18A_HUMAN
675,RL21_HUMAN
676,RL23A_HUMAN
677,RL24_HUMAN
678,RL26L_HUMAN
679,RL26_HUMAN
680,RL27A_HUMAN
681,RL27_HUMAN
682,RL29_HUMAN
683,RL30_HUMAN
684,RL31_HUMAN
685,RL35A_HUMAN
686,RL36_HUMAN
687,RL3_HUMAN
688,RL4_HUMAN
689,RL5_HUMAN
690,RL6_HUMAN
691,RL7_HUMAN
692,RL8_HUMAN
693,RL9_HUMAN
694,RM14_HUMAN
695,ROA1_HUMAN
696,ROA2_HUMAN
697,ROBO1_HUMAN
698,ROCK2_HUMAN
699,RPAP3_HUMAN
700,RPB2_HUMAN
701,RPC6_HUMAN
702,RRMJ1_HUMAN
703,RRP12_HUMAN
704,RRP8_HUMAN
705,RS11_HUMAN
706,RS12_HUMAN
707,RS13_HUMAN
708,RS14_HUMAN
709,RS16_HUMAN
710,RS17_HUMAN
711,RS18_HUMAN
712,RS19_HUMAN
713,RS21_HUMAN
714,RS24_HUMAN
715,RS27A_HUMAN
716,RS29_HUMAN
717,RS2_HUMAN
718,RS3A_HUMAN
719,RS3_HUMAN
720,RS6_HUMAN
721,RS7_HUMAN
722,RS8_HUMAN
723,RU1C_HUMAN
724,RUVB1_HUMAN
725,RUVB2_HUMAN
726,S30BP_HUMAN
727,S7A6O_HUMAN
728,SAE2_HUMAN
729,SAHH2_HUMAN
730,SAHH3_HUMAN
731,SAHH_HUMAN
732,SAS10_HUMAN
733,SBP1_HUMAN
734,SC23A_HUMAN
735,SCAM3_HUMAN
736,SCOT1_HUMAN
737,SDHF2_HUMAN
738,SEPT2_HUMAN
739,SEPT7_HUMAN
740,SERC_HUMAN
741,SERPH_HUMAN
742,SETD3_HUMAN
743,SET_HUMAN
744,SF01_HUMAN
745,SF3A1_HUMAN
746,SF3B1_HUMAN
747,SF3B2_HUMAN
748,SF3B4_HUMAN
749,SFPQ_HUMAN
750,SGTA_HUMAN
751,SH24A_HUMAN
752,SH3G1_HUMAN
753,SH3G2_HUMAN
754,SHC1_HUMAN
755,SHIP2_HUMAN
756,SHOT1_HUMAN
757,SIN3A_HUMAN
758,SLAI2_HUMAN
759,SMAD2_HUMAN
760,SMAP_HUMAN
761,SMC2_HUMAN
762,SMCA2_HUMAN
763,SMCA4_HUMAN
764,SMG9_HUMAN
765,SNAG_HUMAN
766,SND1_HUMAN
767,SNW1_HUMAN
768,SPT6H_HUMAN
769,SPTA2_HUMAN
770,SPTB2_HUMAN
771,SR140_HUMAN
772,SRC8_HUMAN
773,SRP09_HUMAN
774,SRP72_HUMAN
775,SRRM2_HUMAN
776,SRSF2_HUMAN
777,SRSF3_HUMAN
778,SRSF9_HUMAN
779,SSBP_HUMAN
780,SSRP1_HUMAN
781,STAM2_HUMAN
782,STAT1_HUMAN
783,STAT3_HUMAN
784,STIP1_HUMAN
785,STRAP_HUMAN
786,STX16_HUMAN
787,SUCA_HUMAN
788,SUCB2_HUMAN
789,SUGT1_HUMAN
790,SURF2_HUMAN
791,SYAC_HUMAN
792,SYCC_HUMAN
793,SYDC_HUMAN
794,SYEP_HUMAN
795,SYIC_HUMAN
796,SYIM_HUMAN
797,SYLC_HUMAN
798,SYMC_HUMAN
799,SYNC_HUMAN
800,SYRC_HUMAN
801,SYSC_HUMAN
802,SYTC_HUMAN
803,SYVC_HUMAN
804,SYYC_HUMAN
805,T2FB_HUMAN
806,TAGL2_HUMAN
807,TAGL3_HUMAN
808,TB182_HUMAN
809,TBA1A_HUMAN
810,TBA1B_HUMAN
811,TBA1C_HUMAN
812,TBA3C_HUMAN
813,TBA3E_HUMAN
814,TBA4A_HUMAN
815,TBA8_HUMAN
816,TBAL3_HUMAN
817,TBB2A_HUMAN
818,TBB2B_HUMAN
819,TBB2C_HUMAN
820,TBB3_HUMAN
821,TBB5_HUMAN
822,TBCA_HUMAN
823,TBCB_HUMAN
824,TBL1R_HUMAN
825,TCEA1_HUMAN
826,TCPA_HUMAN
827,TCPD_HUMAN
828,TCPE_HUMAN
829,TCPQ_HUMAN
830,TCPW_HUMAN
831,TCPZ_HUMAN
832,TCTP_HUMAN
833,TERA_HUMAN
834,TES_HUMAN
835,TFR1_HUMAN
836,TGM2_HUMAN
837,THIL_HUMAN
838,THIM_HUMAN
839,THOC4_HUMAN
840,THOP1_HUMAN
841,TIF1B_HUMAN
842,TIM44_HUMAN
843,TKT_HUMAN
844,TLN1_HUMAN
845,TOM1_HUMAN
846,TOM34_HUMAN
847,TOM70_HUMAN
848,TOPK_HUMAN
849,TPD52_HUMAN
850,TPIS_HUMAN
851,TPP2_HUMAN
852,TR150_HUMAN
853,TRAD1_HUMAN
854,TRAP1_HUMAN
855,TRFL_HUMAN
856,TRIP6_HUMAN
857,TRXR1_HUMAN
858,TRXR2_HUMAN
859,TSC1_HUMAN
860,TSN_HUMAN
861,TTC9C_HUMAN
862,TWF1_HUMAN
863,TXND5_HUMAN
864,TYSY_HUMAN
865,U520_HUMAN
866,UB2E1_HUMAN
867,UB2E2_HUMAN
868,UB2E3_HUMAN
869,UB2R2_HUMAN
870,UB2V1_HUMAN
871,UBA1_HUMAN
872,UBC12_HUMAN
873,UBP2L_HUMAN
874,UBP5_HUMAN
875,UBP8_HUMAN
876,UGGG1_HUMAN
877,UGPA_HUMAN
878,UPP1_HUMAN
879,USO1_HUMAN
880,VASP_HUMAN
881,VAT1_HUMAN
882,VATG1_HUMAN
883,VIGLN_HUMAN
884,VINC_HUMAN
885,VP13C_HUMAN
886,VP26A_HUMAN
887,VPS35_HUMAN
888,WASH1_HUMAN
889,WASH2_HUMAN
890,WASH3_HUMAN
891,WASH6_HUMAN
892,WASL_HUMAN
893,WDR61_HUMAN
894,WIBG_HUMAN
895,XPO1_HUMAN
896,XPO2_HUMAN
897,XPP1_HUMAN
898,XRCC5_HUMAN
899,YAP1_HUMAN
900,YBOX1_HUMAN
901,YBOX2_HUMAN
902,ZO1_HUMAN
903,AATC_HUMAN
904,ACL6A_HUMAN
905,ADA_HUMAN
906,AKT1_HUMAN
907,AKT2_HUMAN
908,AKT3_HUMAN
909,AP1AR_HUMAN
910,BCAR1_HUMAN
911,CAB45_HUMAN
912,CBR1_HUMAN
913,CPNS1_HUMAN
914,DDR2_HUMAN
915,DJB11_HUMAN
916,EFHD2_HUMAN
917,EIF3A_HUMAN
918,ELYS_HUMAN
919,ERF1_HUMAN
920,ERO1A_HUMAN
921,FKBP5_HUMAN
922,FSCN1_HUMAN
923,GAGE3_HUMAN
924,GAGE4_HUMAN
925,GAGE5_HUMAN
926,GAGE6_HUMAN
927,GAGE7_HUMAN
928,GG12C_HUMAN
929,GG12F_HUMAN
930,GG12H_HUMAN
931,GG12J_HUMAN
932,GOGA3_HUMAN
933,H4_HUMAN
934,HTRA2_HUMAN
935,ICAM1_HUMAN
936,KAD6_HUMAN
937,LXN_HUMAN
938,MYH10_HUMAN
939,NCF4_HUMAN
940,NFYB_HUMAN
941,P4HA2_HUMAN
942,PAPS1_HUMAN
943,PARD3_HUMAN
944,PDLI5_HUMAN
945,PGM2L_HUMAN
946,PP1A_HUMAN
947,PP1G_HUMAN
948,PRS10_HUMAN
949,PSA3_HUMAN
950,PSMG1_HUMAN
951,RHG05_HUMAN
952,RHG12_HUMAN
953,RM49_HUMAN
954,RRP36_HUMAN
955,SC31A_HUMAN
956,SPSY_HUMAN
957,UBE2S_HUMAN
958,UCRIL_HUMAN
959,UCRI_HUMAN
960,VIME_HUMAN
961,ACK1_HUMAN
962,AFAD_HUMAN
963,ARFG3_HUMAN
964,CAPR1_HUMAN
965,CASC3_HUMAN
966,CD44_HUMAN
967,CDC5L_HUMAN
968,CJ119_HUMAN
969,CND1_HUMAN
970,COX5A_HUMAN
971,CX6B1_HUMAN
972,DBR1_HUMAN
973,DHX15_HUMAN
974,DNS2A_HUMAN
975,DOHH_HUMAN
976,EMD_HUMAN
977,EPN4_HUMAN
978,ETFB_HUMAN
979,FA50A_HUMAN
980,G3BP2_HUMAN
981,GMDS_HUMAN
982,GMPPB_HUMAN
983,HERC2_HUMAN
984,HNRPF_HUMAN
985,HSDL1_HUMAN
986,HYOU1_HUMAN
987,ICLN_HUMAN
988,ILF3_HUMAN
989,IRS2_HUMAN
990,LAR4B_HUMAN
991,LGUL_HUMAN
992,MINT_HUMAN
993,MYPT1_HUMAN
994,NELFB_HUMAN
995,NOTC2_HUMAN
996,NT2NL_HUMAN
997,PAK2_HUMAN
