,Substrate
9428,Q7L0Q8
9436,Q86UR1
9441,Q8IVP5
9443,Q8IXH7
9451,Q8N556
9466,Q8NER1
9469,Q8WUM4
9473,Q8WWM7
9499,Q92558
9503,Q92734
9508,Q92945
9517,Q93052
9524,Q969H4
9536,Q96AC1
9539,Q96AE4
9558,Q96KG7
9561,Q96P31
9575,Q96TC7
9578,Q99439
9601,Q99961
9607,Q9BXP5
9616,Q9BZG1
9619,Q9BZL6
9622,Q9H2X6
9627,Q9H5V8
9635,Q9H7P9
9640,Q9NPY3
9648,Q9NRY4
9652,Q9NV92
9662,Q9NYF8
9675,Q9NZC7
9679,Q9NZQ3
9714,Q9UKT4
9721,Q9UKW4
9724,Q9ULV8
9731,Q9UPT8
9738,Q9Y2W1
9752,Q9Y371
9755,Q9Y3Q4
9764,Q9Y613
9803,Q05639
9900,O00168
9903,O14493
9925,O15217
9935,O43526
9940,O60479
9949,O60500
9960,O60825
9963,O60869
9966,O60928
9969,O60941
9978,O75376
9981,O75469
9984,O75689
9993,O76090
10001,O94901
10004,O94992
10006,O95243
10011,O95471
10022,O95786
10029,O96004
10039,P00749
10044,P01116
10047,P01589
10052,P01730
10066,P02686
10134,P05204
10139,P05556
10177,P08034
10182,P08100
10187,P08183
10194,P08253
10205,P08567
10237,P08684
10267,P08833
10274,P09038
10279,P09693
10282,P09758
10294,P10451
10296,P10588
10299,P10599
10309,P11234
10320,P11473
10334,P13498
10338,P13569
10353,P13726
10398,P15382
10401,P16070
10414,P16150
10417,P16671
10420,P17252
10429,P17812
10434,P17844
10445,P18507
10448,P19021
10451,P19086
10479,P20020
10484,P21399
10503,P21731
10514,P22460
10531,P23677
10537,P24046
10566,P27635
10593,P29474
10596,P29475
10622,P29972
10634,P30679
10641,P31645
10657,P33778
10664,P35367
10671,P35368
10682,P35398
10703,P35869
10708,P35900
10711,P36542
10714,P36897
10730,P41091
10733,P41143
10748,P42261
10756,P42262
10763,P43119
10770,P45379
10775,P46940
10787,P48058
10792,P48067
10808,P49685
10811,P49768
10813,P49795
10818,P49802
10829,P50552
10832,P51674
10861,P55087
10867,P60880
10874,P60983
10886,P78314
10888,P78536
10891,P81274
10894,Q00169
10896,Q01814
10905,Q01954
10908,Q01959
10913,Q01970
10916,Q01995
10944,Q05209
10951,Q05940
10961,Q06210
10970,Q07617
10973,Q07869
10987,Q09472
10990,Q12791
10993,Q12809
11013,Q13255
11015,Q13303
11018,Q13393
11025,Q13418
11030,Q13507
11034,Q13522
11039,Q13574
11050,Q13976
11056,Q14432
11071,Q14469
11080,Q14994
11083,Q15080
11088,Q15121
11097,Q15172
11100,Q15311
11127,Q16658
11130,Q16760
11151,Q7KZI7
11158,Q86VB7
11161,Q8N0W4
11169,Q8N726
11177,Q8NF50
11187,Q8TD43
11194,Q8WTQ7
11197,Q8WZ42
11202,Q92681
11209,Q92837
11232,Q96AX2
11245,Q96MS0
11252,Q96PY5
11260,Q96T49
11269,Q99801
11274,Q9BQE3
11279,Q9BR39
11282,Q9BR76
11293,Q9C0K0
11296,Q9H1D0
11302,Q9HAN9
11307,Q9NQ66
11310,Q9NQA5
11315,Q9NRF2
11332,Q9NXH3
11340,Q9UH77
11343,Q9UJY1
11351,Q9UKG1
11356,Q9UQ13
11375,Q9Y624
11382,Q9Y6H6
11393,O00231
11404,O00482
11407,O14558
11410,O14649
11413,O14813
11416,O14921
11429,O15551
11433,O15554
11436,O43164
11441,O43181
11446,O43566
11451,O43665
11457,O60240
11491,O75688
11494,O75762
11503,O76054
11506,O76074
11509,O94763
11512,O94811
11525,O95180
11528,O95295
11546,O95863
11549,O96001
11561,P00439
11591,P04035
11618,P04792
11630,P05093
11645,P05549
11664,P07384
11696,P08151
11714,P08588
11746,P09917
11753,P0DMV8
11756,P10071
11811,P11168
11833,P13224
11859,P13612
11867,P13796
11871,P13807
11889,P14410
11907,P15924
11911,P16066
11937,P17542
11947,P17655
11952,P17661
11959,P17676
11962,P17752
11988,P19544
11993,P19793
12003,P20265
12006,P20941
12021,P21817
12024,P21980
12029,P22459
12035,P23771
12051,P24390
12054,P25054
12063,P26599
12067,P26678
12071,P27448
12074,P27708
12082,P27815
12103,P30301
12108,P30518
12111,P31323
12114,P32245
12122,P33076
12139,P35236
12143,P35240
12162,P36382
12167,P36955
12176,P39019
12186,P41161
12189,P41181
12194,P41240
12205,P46020
12217,P48436
12222,P48544
12227,P48549
12230,P48729
12281,P50895
12284,P51398
12293,P51787
12299,P52888
12302,P53396
12308,P54296
12317,P55064
12357,P61224
12362,P61586
12366,P62195
12369,P62834
12376,P63252
12379,P78348
12390,Q00059
12399,Q00536
12412,Q00613
12415,Q01082
12423,Q01130
12432,Q01860
12468,Q05469
12484,Q07343
12487,Q07352
12496,Q07955
12499,Q08289
12512,Q08495
12518,Q09470
12526,Q12798
12529,Q12802
12548,Q13085
12551,Q13185
12558,Q13351
12563,Q13370
12585,Q13563
12588,Q13576
12600,Q13972
12604,Q14103
12612,Q14344
12622,Q14500
12643,Q14749
12646,Q14847
12649,Q14896
12663,Q15052
12666,Q15054
12674,Q15208
12679,Q15256
12689,Q15835
12694,Q16531
12699,Q16613
12729,Q16790
12735,Q16891
12740,Q5S007
12753,Q68EM7
12756,Q6J4K2
12763,Q7LDG7
12766,Q7Z2W7
12778,Q86V87
12786,Q8IW41
12789,Q8IWQ3
12792,Q8IWU9
12795,Q8IYT8
12800,Q8N5S9
12808,Q8TAE6
12811,Q8TCU6
12819,Q8WVI7
12834,Q92736
12840,Q92777
12848,Q92917
12863,Q93034
12881,Q96P20
12895,Q96SB3
12903,Q99259
12915,Q99996
12917,Q9BY41
12921,Q9GZU1
12926,Q9GZX7
12931,Q9H0K1
12936,Q9H2S1
12951,Q9H492
12957,Q9HC16
12960,Q9HCR9
12968,Q9NP71
12971,Q9NP97
12974,Q9NPC2
12982,Q9NRD9
12992,Q9NS28
12995,Q9NX63
13003,Q9NYF0
13008,Q9NZV8
13011,Q9P0L9
13018,Q9P289
