kinase,num_random_aa,random_aa,kinase_type
CLK2,17,"exclude S, T, C",ST kinase
CLK3,17,"exclude S, T, C",ST kinase
CLK4,17,"exclude S, T, C",ST kinase
COT,17,"exclude S, T, C",ST kinase
CRIK,17,"exclude S, T, C",ST kinase
CDK12,17,"exclude S, T, C",ST kinase
DAPK1,17,"exclude S, T, C",ST kinase
DAPK2,17,"exclude S, T, C",ST kinase
DAPK3,17,"exclude S, T, C",ST kinase
DCAMKL1,17,"exclude S, T, C",ST kinase
DCAMKL2,17,"exclude S, T, C",ST kinase
DLK,17,"exclude S, T, C",ST kinase
DMPK1,17,"exclude S, T, C",ST kinase
DNAPK,17,"exclude S, T, C",ST kinase
DRAK1,17,"exclude S, T, C",ST kinase
DYRK1A,17,"exclude S, T, C",ST kinase
DYRK1B,17,"exclude S, T, C",ST kinase
DYRK2,17,"exclude S, T, C",ST kinase
DYRK3,17,"exclude S, T, C",ST kinase
DYRK4,17,"exclude S, T, C",ST kinase
ERK1,17,"exclude S, T, C",ST kinase
ERK2,17,"exclude S, T, C",ST kinase
ERK5,17,"exclude S, T, C",ST kinase
ERK7,17,"exclude S, T, C",ST kinase
MTOR,17,"exclude S, T, C",ST kinase
GAK,17,"exclude S, T, C",ST kinase
GCK,17,"exclude S, T, C",ST kinase
GCN2,17,"exclude S, T, C",ST kinase
GRK4,17,"exclude S, T, C",ST kinase
GRK5,17,"exclude S, T, C",ST kinase
GRK6,17,"exclude S, T, C",ST kinase
GRK7,17,"exclude S, T, C",ST kinase
GSK3A,17,"exclude S, T, C",ST kinase
GSK3B,17,"exclude S, T, C",ST kinase
HASPIN,17,"exclude S, T, C",ST kinase
HGK,17,"exclude S, T, C",ST kinase
HIPK1,17,"exclude S, T, C",ST kinase
HIPK2,17,"exclude S, T, C",ST kinase
HIPK3,17,"exclude S, T, C",ST kinase
HIPK4,17,"exclude S, T, C",ST kinase
HPK1,17,"exclude S, T, C",ST kinase
HRI,17,"exclude S, T, C",ST kinase
HUNK,17,"exclude S, T, C",ST kinase
ICK,17,"exclude S, T, C",ST kinase
IKKA,17,"exclude S, T, C",ST kinase
IKKB,17,"exclude S, T, C",ST kinase
IKKE,17,"exclude S, T, C",ST kinase
IRAK1,17,"exclude S, T, C",ST kinase
IRAK4,17,"exclude S, T, C",ST kinase
IRE1,17,"exclude S, T, C",ST kinase
IRE2,17,"exclude S, T, C",ST kinase
JNK1,17,"exclude S, T, C",ST kinase
JNK2,17,"exclude S, T, C",ST kinase
JNK3,17,"exclude S, T, C",ST kinase
KHS1,17,"exclude S, T, C",ST kinase
KHS2,17,"exclude S, T, C",ST kinase
KIS,17,"exclude S, T, C",ST kinase
LATS1,17,"exclude S, T, C",ST kinase
LATS2,17,"exclude S, T, C",ST kinase
LKB1,17,"exclude S, T, C",ST kinase
LOK,17,"exclude S, T, C",ST kinase
LRRK2,17,"exclude S, T, C",ST kinase
MAK,17,"exclude S, T, C",ST kinase
MEK1,17,"exclude S, T, C",ST kinase
MEK2,17,"exclude S, T, C",ST kinase
MEK5,17,"exclude S, T, C",ST kinase
MEKK1,17,"exclude S, T, C",ST kinase
YSK4,17,"exclude S, T, C",ST kinase
MEKK2,17,"exclude S, T, C",ST kinase
MEKK3,17,"exclude S, T, C",ST kinase
ASK1,17,"exclude S, T, C",ST kinase
MEKK6,17,"exclude S, T, C",ST kinase
MAP3K15,17,"exclude S, T, C",ST kinase
MAPKAPK2,17,"exclude S, T, C",ST kinase
MAPKAPK3,17,"exclude S, T, C",ST kinase
MAPKAPK5,17,"exclude S, T, C",ST kinase
MARK1,17,"exclude S, T, C",ST kinase
MARK2,17,"exclude S, T, C",ST kinase
MARK3,17,"exclude S, T, C",ST kinase
MARK4,17,"exclude S, T, C",ST kinase
MASTL,17,"exclude S, T, C",ST kinase
MELK,17,"exclude S, T, C",ST kinase
MINK,17,"exclude S, T, C",ST kinase
MLK1,17,"exclude S, T, C",ST kinase
MLK2,17,"exclude S, T, C",ST kinase
MLK3,17,"exclude S, T, C",ST kinase
MLK4,17,"exclude S, T, C",ST kinase
MNK1,17,"exclude S, T, C",ST kinase
MNK2,17,"exclude S, T, C",ST kinase
MOK,17,"exclude S, T, C",ST kinase
MOS,17,"exclude S, T, C",ST kinase
MPSK1,17,"exclude S, T, C",ST kinase
MRCKA,17,"exclude S, T, C",ST kinase
MRCKB,17,"exclude S, T, C",ST kinase
MSK1,17,"exclude S, T, C",ST kinase
MSK2,17,"exclude S, T, C",ST kinase
SRPK3,17,"exclude S, T, C",ST kinase
MST1,17,"exclude S, T, C",ST kinase
MST2,17,"exclude S, T, C",ST kinase
MST3,17,"exclude S, T, C",ST kinase
MST4,17,"exclude S, T, C",ST kinase
MYO3A,17,"exclude S, T, C",ST kinase
MYO3B,17,"exclude S, T, C",ST kinase
NDR1,17,"exclude S, T, C",ST kinase
NDR2,17,"exclude S, T, C",ST kinase
NEK1,17,"exclude S, T, C",ST kinase
NEK11,17,"exclude S, T, C",ST kinase
NEK2,17,"exclude S, T, C",ST kinase
NEK3,17,"exclude S, T, C",ST kinase
NEK4,17,"exclude S, T, C",ST kinase
NEK5,17,"exclude S, T, C",ST kinase
NEK6,17,"exclude S, T, C",ST kinase
NEK7,17,"exclude S, T, C",ST kinase
NEK8,17,"exclude S, T, C",ST kinase
NEK9,17,"exclude S, T, C",ST kinase
NIK,17,"exclude S, T, C",ST kinase
NIM1,17,"exclude S, T, C",ST kinase
NLK,17,"exclude S, T, C",ST kinase
NUAK1,17,"exclude S, T, C",ST kinase
NUAK2,17,"exclude S, T, C",ST kinase
OSR1,17,"exclude S, T, C",ST kinase
P38A,17,"exclude S, T, C",ST kinase
P38B,17,"exclude S, T, C",ST kinase
P38D,17,"exclude S, T, C",ST kinase
P38G,17,"exclude S, T, C",ST kinase
P70S6K,17,"exclude S, T, C",ST kinase
P70S6KB,17,"exclude S, T, C",ST kinase
PAK1,17,"exclude S, T, C",ST kinase
PAK2,17,"exclude S, T, C",ST kinase
PAK3,17,"exclude S, T, C",ST kinase
PAK4,17,"exclude S, T, C",ST kinase
PAK5,17,"exclude S, T, C",ST kinase
PAK6,17,"exclude S, T, C",ST kinase
PASK,17,"exclude S, T, C",ST kinase
PBK,17,"exclude S, T, C",ST kinase
CDK16,17,"exclude S, T, C",ST kinase
CDK17,17,"exclude S, T, C",ST kinase
