kinase,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25,PCA26,PCA27,PCA28,PCA29,PCA30,PCA31,PCA32
NUAK1,-1.9809489163623875,0.8353672995015126,0.1542382299573763,-0.3539920186852394,0.2526894330269868,-0.012264790095128847,0.020307057289427975,-0.005234289739222373,-0.26941568733215693,0.21491509074995424,0.029856522054811166,-0.2717018492107533,-0.06347617130178244,0.17946725297213814,-0.07327971851224,0.023344989548224965,-0.014643823758907343,0.020414799383603018,-0.018743604622994042,0.02413791121970312,0.022272144635223836,0.10553144089638296,-0.06372379537372194,0.06608788286924996,0.18521581252680192,0.0651703216652365,0.06100193476492407,-0.015152569829277042,0.01099226297579323,0.006188389384597215,-0.049522337621213004,0.041727681876491333
NUAK2,-1.9051595040809004,0.7588645425461265,0.543054491717964,-0.4885343095393725,0.1531866080780196,0.08694444142626039,0.18050039591184702,-0.026222334072390996,-0.1828539688200691,0.15223938014651808,-0.03281923920328223,-0.12601350744928475,-0.04443866077930363,0.1423671167472236,-0.0969487448042251,0.024601120691349516,0.0424410969155398,0.02533629846463163,0.036020996502319054,0.0040348607578219895,0.03294603842089163,0.09979503800614145,-0.019561834659912965,0.06179113271313882,0.1433335284116295,0.01344077037730934,0.15705430819908428,0.01453343847998116,0.009115177021777018,0.07851113311419232,-0.039932435431888985,0.09987217125523094
OSR1,2.1898575676264826,0.8254759262550323,-0.42935043073023205,0.20694547581584974,-0.024495245141722775,0.5956090883755222,0.25522392542430816,-0.17314807972639182,-0.1748856784198866,0.08399265259543799,-0.15659847919665715,0.37541702953644124,0.047984683554585135,-0.10518770964990623,0.08939599182194112,-0.04890603710643719,-0.08147812272115666,0.03223300371254294,-0.002785046185690415,0.009779512536808305,-0.053212321161018906,0.03373673315167276,0.03961377147618308,0.23368351609449015,-0.004968077284030533,-0.03598146449093633,-0.1198162149848273,-0.10986996117254791,-0.001852936860360377,-0.06803205406651627,0.02458004462507032,-0.07135287151874531
PAK1,0.07670559284506767,-0.3349074133509963,-0.44224666883877584,0.02151049025490707,0.29252200122426575,0.08152247968420583,0.42085274861867544,0.022965668807546274,-0.04989600898756888,-0.14768374863373135,-0.09501884503481321,0.13812536960610278,-0.0861327548984652,0.06430548196182985,0.2551288875819376,-0.13946644428083932,0.10555267582595107,0.1310446874119823,-0.02421509453084924,-0.18660856581358984,-0.15027572558405425,-0.15355704664607503,0.02032061947516384,0.02938585563576276,-0.02093856045044083,-0.08953421701419088,-0.10357483338254933,0.04190602181471662,-0.045388609636208166,0.1724260970489609,-0.08054181488098545,0.0442963244928851
PAK2,-0.8581121463932591,-0.13644506170664739,-0.3948640057710401,0.10391868485734909,0.2769913632592556,0.3366525162977069,0.240384378003255,-0.08041375680729285,-0.16786014461377927,-0.12294819191372139,-0.16507089608307224,0.1277713429942889,-0.2135674799747198,0.006685845428579176,0.17773356051892697,-0.0744888767751095,0.08353030164619565,0.10517138461437936,0.01750662906756709,-0.16435875085047325,-0.1773320231247047,-0.022847462885621353,0.0742652965187447,0.07664714139300473,-0.02937396986087046,0.07451425631302294,-0.05828343203149751,-0.06655515050935916,-0.0515380465814767,0.023717257371661582,0.024367300495385248,0.09781854541061255
PAK3,-1.0858191989190706,0.010914054477941979,-0.5409219431147968,0.1417919210499052,0.2136514370874966,0.34752836566305556,0.27952181246808566,-0.011464155578614587,-0.10080478084830147,-0.09929389151785924,-0.07515794794130372,0.07226552609573435,-0.10943046211738745,0.11434961637678259,0.15059232456318836,-0.18683274495533606,0.058531732828503186,0.07729761034263981,0.016704756126192308,-0.11923232223058286,-0.18020365771144958,-0.08296270832197238,0.03972164832014731,0.009275157083078685,0.016310429109859793,0.024369504930903816,-0.07194517251323147,-0.03398047908983962,0.01030154874439969,0.09331737269774197,0.03342552136922449,0.06535893173810232
PAK4,0.5217446109380834,-1.208287771282268,0.22761513829907346,0.06920882518940201,0.09130927205365255,0.1343446089085668,0.43811327733206284,0.06063672444321505,0.11912284275053195,-0.11560214688798492,-0.0835556192643067,0.15848774488670148,0.05594215307710076,0.00902248096747459,-0.03080404320329978,-0.15580131521742957,0.1934450205581148,0.009935962748330082,-0.015484338584001618,-0.008632583822923433,0.06864382452675895,0.05951980485997178,-0.08804054968713099,-0.035329049044819254,-0.15351462994749562,0.08594722475252514,-0.12102410918647517,-0.06691328580402923,-0.11777132892316547,0.015047599527999432,-0.007883654297680578,-0.19016652128028697
PAK5,0.5366400752029286,-1.2386838801918327,0.17886592374141724,0.13351221494267074,0.14645890947027002,-0.0005182542771420845,0.29626952742243035,0.015591138818741202,0.0018192475738438303,-0.051656369558347855,0.015944505717665234,0.09490146752517477,0.2310904490736043,0.10202204786863286,-0.019192445907345167,-0.2013952097991681,0.25619781416542636,0.04779435439745716,-0.08133689942302287,-0.014307380324055765,0.05962929347702369,0.02869666851226252,-0.18325416772968414,-0.03721793000184481,-0.10851309919018631,0.06905736695597488,-0.0919346716518789,-0.029712771996926454,-0.09077687756176728,-0.005434673642112277,-0.04222866532177281,-0.17670250031137516
PAK6,0.5305922443944383,-1.2265406183790484,0.2652098183996022,0.07895808124146116,0.21150115786480086,0.059364745162602345,0.27911992146726544,0.03818931874994441,0.11221235463201619,-0.013956475392077814,-0.04437181700503643,0.19216403081667052,0.09678315734718951,-0.08447864911190721,-0.12416085991116572,-0.14810631785485528,0.25552333794460297,0.07516107783923259,-0.07843710164761153,-0.019296870219930547,0.03961008533163977,0.08915455007418223,-0.15873386300505368,-0.09577074469032348,-0.19204023933416162,0.049775254202971644,-0.0734499776871153,-0.034294961916146845,-0.09924604571572308,0.04405988784042642,-0.04114582786542414,-0.19754879835624764
PASK,0.27733860511369224,0.4695877106967185,0.9684924386650612,-0.3926339652815845,0.2551486710794569,-0.5923667186743392,-0.11641837338640658,-0.10925313567211901,-0.14014149091918096,-0.25849073309109116,0.0013590622080077483,0.3350334214450745,-0.05500830449978065,0.08153266629612119,-0.1568948358661654,0.09506715565011939,-0.12801571944488527,0.06804916558118865,0.03490739544956143,-0.16362423251626712,-0.0023769075351003635,0.21187125074390184,-0.05324721101007675,-0.2010346609240185,0.04704401963811252,-0.0008444258563648055,-0.0848437807348354,0.01435964644199407,0.04186488566843914,-0.05830365970077541,-0.12476170763222176,-0.09391425438814965
